month,day,hour,temp,wind_speed,wind_vec_dir,wind_vec_speed
1,1,0,37.9,7.3,296,2.7
1,1,1,37.4,7.2,302,2.8
1,1,2,37.1,7,299,2.7
1,1,3,36.8,7.3,300,2.9
1,1,4,36.4,7.2,296,3.1
1,1,5,36.2,7.4,307,3.2
1,1,6,36,7.2,308,3.1
1,1,7,36,7.2,304,3.3
1,1,8,36.2,7.3,304,2.8
1,1,9,37.7,8.1,300,3.5
1,1,10,39.3,9.1,296,3.6
1,1,11,40.8,10.3,295,4.1
1,1,12,42.4,10.6,292,4.4
1,1,13,43.6,10.6,291,4.8
1,1,14,44.2,10.5,291,4.9
1,1,15,44.4,10.5,293,4.5
1,1,16,43.9,9.7,293,4
1,1,17,42.4,9.3,299,3.7
1,1,18,41.7,8.6,300,3.6
1,1,19,40.6,8.4,305,3.2
1,1,20,39.9,8.2,306,3.2
1,1,21,39.2,8.2,302,3
1,1,22,38.7,7.9,297,2.9
1,1,23,38.1,7.6,296,2.8
1,2,0,37.5,7.5,295,2.8
1,2,1,37,7.5,300,2.9
1,2,2,36.6,7.2,295,2.7
1,2,3,36.4,7.6,293,2.9
1,2,4,36.1,7.4,290,3
1,2,5,36,7.6,300,3.1
1,2,6,35.7,7.3,300,3
1,2,7,35.7,7.3,298,3
1,2,8,35.9,7.3,296,2.6
1,2,9,37.5,8,295,3.4
1,2,10,39.1,9.1,292,3.5
1,2,11,40.7,10.2,292,4
1,2,12,42.2,10.7,291,4.4
1,2,13,43.4,10.7,289,4.9
1,2,14,44.1,10.5,290,5
1,2,15,44.3,10.7,294,4.7
1,2,16,43.8,9.8,292,4.1
1,2,17,42.3,9.3,298,3.8
1,2,18,41.5,8.6,299,3.8
1,2,19,40.4,8.4,302,3.3
1,2,20,39.7,8.2,303,3.3
1,2,21,39,8.2,300,3.2
1,2,22,38.5,7.9,296,3.1
1,2,23,37.9,7.8,296,3
1,3,0,37.4,7.8,297,3
1,3,1,36.8,7.6,299,3.1
1,3,2,36.5,7.4,293,2.8
1,3,3,36.2,7.9,292,3.1
1,3,4,35.9,7.5,289,3.2
1,3,5,35.8,7.6,297,3.2
1,3,6,35.5,7.4,297,3.1
1,3,7,35.5,7.4,297,3.1
1,3,8,35.7,7.4,293,2.9
1,3,9,37.2,8.1,292,3.5
1,3,10,38.9,9.2,289,3.7
1,3,11,40.5,10.2,290,4.2
1,3,12,42.1,10.6,288,4.7
1,3,13,43.3,10.8,288,5.1
1,3,14,44,10.6,289,5.2
1,3,15,44.2,10.8,292,4.9
1,3,16,43.7,9.9,292,4.3
1,3,17,42.2,9.2,295,3.9
1,3,18,41.3,8.6,297,3.7
1,3,19,40.2,8.5,301,3.2
1,3,20,39.4,8.3,303,3.3
1,3,21,38.8,8.2,297,3.1
1,3,22,38.3,8,293,2.9
1,3,23,37.7,7.7,296,2.8
1,4,0,37.2,7.6,295,2.9
1,4,1,36.7,7.6,298,3
1,4,2,36.3,7.3,293,2.8
1,4,3,35.9,7.8,293,3.1
1,4,4,35.7,7.4,290,3.2
1,4,5,35.5,7.4,300,3.2
1,4,6,35.2,7.2,300,3
1,4,7,35.2,7.2,300,3.1
1,4,8,35.4,7.3,295,2.8
1,4,9,37,8,295,3.5
1,4,10,38.7,9.1,291,3.6
1,4,11,40.3,10.1,289,3.9
1,4,12,41.9,10.5,286,4.5
1,4,13,43.1,10.6,287,4.9
1,4,14,43.8,10.5,289,5
1,4,15,43.9,10.7,292,4.8
1,4,16,43.5,9.8,291,4.2
1,4,17,42,9.2,295,3.8
1,4,18,41.1,8.7,297,3.6
1,4,19,40.1,8.6,302,3.2
1,4,20,39.3,8.3,301,3
1,4,21,38.7,8.1,295,2.9
1,4,22,38.3,7.9,290,2.7
1,4,23,37.8,7.6,294,2.6
1,5,0,37.3,7.6,293,2.8
1,5,1,36.8,7.7,296,3.1
1,5,2,36.3,7.3,289,2.7
1,5,3,36.1,7.8,290,2.9
1,5,4,35.9,7.5,287,3.1
1,5,5,35.7,7.4,296,3
1,5,6,35.4,7.3,295,2.9
1,5,7,35.4,7.3,296,3
1,5,8,35.6,7.2,291,2.7
1,5,9,37.2,7.9,290,3.4
1,5,10,38.7,9.1,287,3.5
1,5,11,40.4,10.1,284,4.1
1,5,12,41.9,10.5,284,4.6
1,5,13,43.1,10.6,283,5
1,5,14,43.8,10.5,286,5.1
1,5,15,44,10.8,288,4.8
1,5,16,43.6,9.9,287,4.3
1,5,17,42.1,9.3,293,3.8
1,5,18,41.2,8.8,295,3.6
1,5,19,40.2,8.8,298,3.2
1,5,20,39.4,8.6,298,3
1,5,21,38.8,8.3,293,2.9
1,5,22,38.3,8.2,287,2.8
1,5,23,37.8,7.7,288,2.6
1,6,0,37.3,7.7,290,2.8
1,6,1,36.9,7.8,291,3
1,6,2,36.3,7.4,289,2.7
1,6,3,36,7.9,290,2.9
1,6,4,35.8,7.6,287,3.1
1,6,5,35.6,7.5,298,3.1
