month,day,hour,visibility,temp,RH,WS,WD,precipitation
1,01,0021,10.00,12.8,90,3,200,
1,01,0047,3.00,12.8,88,6,200,
1,01,0052,4.00,12.8,90,6,190,0.00
1,01,0100,3.73,12.8,90,6,190,
1,01,0152,6.00,12.2,93,8,170,0.00
1,01,0252,6.00,13.3,90,6,180,0.00
1,01,0352,6.00,13.3,90,7,180,0.00
1,01,0400,5.59,13.3,90,7,180,
1,01,0446,4.00,12.8,94,7,180,
1,01,0452,4.00,12.8,93,7,180,0.00
1,01,0537,4.00,13.9,90,5,200,
1,01,0552,5.00,13.9,90,6,190,
1,01,0652,5.00,13.9,90,5,190,0.01
1,01,0700,4.97,13.9,90,5,190,
1,01,0752,4.00,13.3,93,8,180,0.04
1,01,0759,4.00,13.3,93,7,190,0.01
1,01,0820,2.50,13.9,90,7,180,0.02
1,01,0832,2.50,13.9,93,7,190,0.03
1,01,0840,0.75,13.9,90,8,180,0.04
1,01,0852,2.00,13.3,93,6,190,0.06
1,01,0952,2.00,14.4,93,3,170,0.06
1,01,1000,1.99,14.4,93,3,170,
1,01,1049,2.00,13.9,94,5,190,0.10
1,01,1052,2.00,15.0,90,3,210,0.11
1,01,1134,1.00,14.4,93,0,000,0.07
1,01,1152,1.00,14.4,93,0,000,0.06
1,01,1232,1.00,15.0,93,0,000,0.01
1,01,1252,2.00,15.0,93,0,000,0.01
1,01,1300,1.99,15.0,93,0,000,
1,01,1352,6.00,16.1,93,0,000,
1,01,1405,9.00,16.1,90,0,000,
1,01,1414,10.00,16.7,90,0,000,
1,01,1452,6.00,15.6,93,3,040,0.00
1,01,1552,10.00,16.1,90,0,000,0.00
1,01,1555,1.75,15.6,90,3,120,
1,01,1557,8.00,15.0,93,0,000,
1,01,1600,9.94,16.1,90,0,000,
1,01,1633,8.00,15.0,93,3,080,
1,01,1652,8.00,15.6,90,3,180,0.00
1,01,1701,8.00,15.6,93,7,180,
1,01,1748,10.00,17.2,88,5,190,
1,01,1752,10.00,16.1,93,5,170,0.00
1,01,1839,8.00,15.6,90,0,000,
1,01,1852,8.00,15.6,93,0,000,0.00
1,01,1900,7.46,15.6,93,0,000,
1,01,1946,7.00,16.1,94,5,190,
1,01,1952,8.00,16.1,93,8,190,0.00
1,01,2026,7.00,16.1,93,9,190,
1,01,2052,10.00,17.2,90,10,210,0.00
1,01,2152,10.00,17.8,84,10,340,0.00
